session,run_id,audit_file,platform_id,timestamp_utc,navigator_version,audit_schema_version,protocol_version,memory_digest_hash,m3_preferences_count,memory_status,m3_jaccard_threshold,m3_abstention_margin,vlm_model,vlm_model_digest,vlm_quantization,git_commit,git_dirty,geojson_md5,route_graph_md5,sas_text_version,gpu_driver_version,poi_signatures_loaded,decision_records
A,20260422_125210,data/session_a/audits/audit_20260422_125210.jsonl,xplorer-c,2026-04-22T09:52:10+00:00,v4.7.4,2.0,,a18b610f06e9ded2e89f7d64bfc6357c,3,loaded,0.6,,qwen3.5:4b,,,,,,,,,14,11
A,20260422_130731,data/session_a/audits/audit_20260422_130731.jsonl,xplorer-c,2026-04-22T10:07:31+00:00,v4.7.4,2.0,,a18b610f06e9ded2e89f7d64bfc6357c,3,loaded,0.6,,qwen3.5:4b,,,,,,,,,14,8
A,20260422_133920,data/session_a/audits/audit_20260422_133920.jsonl,xplorer-c,2026-04-22T10:39:20+00:00,v4.7.4,2.0,,a18b610f06e9ded2e89f7d64bfc6357c,3,loaded,0.6,,qwen3.5:4b,,,,,,,,,14,17
A,20260423_111036,data/session_a/audits/audit_20260423_111036.jsonl,xplorer-c,2026-04-23T08:10:36+00:00,v4.7.4,2.0,,a18b610f06e9ded2e89f7d64bfc6357c,3,loaded,0.6,,qwen3.5:4b,,,,,,,,,15,2
A,20260423_111403,data/session_a/audits/audit_20260423_111403.jsonl,xplorer-c,2026-04-23T08:14:03+00:00,v4.7.4,2.0,,a18b610f06e9ded2e89f7d64bfc6357c,3,loaded,0.6,,qwen3.5:4b,,,,,,,,,15,20
A,20260423_112335,data/session_a/audits/audit_20260423_112335.jsonl,xplorer-c,2026-04-23T08:23:35+00:00,v4.7.4,2.0,,a18b610f06e9ded2e89f7d64bfc6357c,3,loaded,0.6,,qwen3.5:4b,,,,,,,,,15,5
A,20260423_122139,data/session_a/audits/audit_20260423_122139.jsonl,xplorer-c,2026-04-23T09:21:39+00:00,v4.8,2.0,,a18b610f06e9ded2e89f7d64bfc6357c,3,loaded,0.6,,qwen3.5:4b,,,,,,,,,15,12
A,20260423_125344,data/session_a/audits/audit_20260423_125344.jsonl,xplorer-c,2026-04-23T09:53:44+00:00,v4.8,2.0,,41c0a9e7c78a34df6c0fb4f07f43f1e0,0,loaded,0.6,,qwen3.5:4b,,,,,,,,,15,2
A,20260423_125753,data/session_a/audits/audit_20260423_125753.jsonl,xplorer-c,2026-04-23T09:57:53+00:00,v4.8,2.0,,a18b610f06e9ded2e89f7d64bfc6357c,3,loaded,0.6,,qwen3.5:4b,,,,,,,,,15,2
A,20260423_130130,data/session_a/audits/audit_20260423_130130.jsonl,xplorer-c,2026-04-23T10:01:30+00:00,v4.8,2.0,,a18b610f06e9ded2e89f7d64bfc6357c,3,loaded,0.6,,qwen3.5:4b,,,,,,,,,15,6
B,20260423_143541,data/session_b/audits/audit_20260423_143541.jsonl,xplorer-b,2026-04-23T11:35:41+00:00,v4.8,2.0,,97241265217eb4b08e26fb718eb21f40,6,loaded,0.6,,qwen3.5:4b,,,,,,,,,15,24
B,20260423_150456,data/session_b/audits/audit_20260423_150456.jsonl,xplorer-b,2026-04-23T12:04:56+00:00,v4.8,2.0,,97241265217eb4b08e26fb718eb21f40,6,loaded,0.6,,qwen3.5:4b,,,,,,,,,15,46
B,20260423_153932,data/session_b/audits/audit_20260423_153932.jsonl,xplorer-b,2026-04-23T12:39:32+00:00,v4.8,2.0,,97241265217eb4b08e26fb718eb21f40,6,loaded,0.6,,qwen3.5:4b,,,,,,,,,15,6
C,20260424_172918,data/session_c/audits/pair1_B_fire.jsonl,xplorer-b,2026-04-24T14:29:18+00:00,v4.8,2.0,,97241265217eb4b08e26fb718eb21f40,6,loaded,0.6,,qwen3.5:4b,,,,,,,,,15,1
C,20260424_172924,data/session_c/audits/pair1_C_restroom.jsonl,xplorer-c,2026-04-24T14:29:24+00:00,v4.8,2.0,,97241265217eb4b08e26fb718eb21f40,6,loaded,0.6,,qwen3.5:4b,,,,,,,,,15,1
